"id","team1","team2","team1_points_against","team2_points_against","team1_offense_metric","team2_offense_metric","date","score1","score2"
10489,"CON","IND","73.6000000000000000","87.6500000000000000","-2.3556250000000000","4.1925000000000000","5/14/2024",92,71
10490,"LVA","PHO","80.9000000000000000","84.7500000000000000","4.2668750000000000","0.14750000000000000000","5/14/2024",89,80
10491,"NYL","WAS","76.4500000000000000","82.2750000000000000","3.2450000000000000","-1.8875000000000000","5/14/2024",85,80
10492,"MIN","SEA","75.6000000000000000","78.7500000000000000","-0.45937500000000000000","0.90812500000000000000","5/14/2024",83,70
10493,"PHO","LVA","84.7500000000000000","80.9000000000000000","0.14750000000000000000","4.2668750000000000","5/14/2024",80,89
10494,"WAS","NYL","82.2750000000000000","76.4500000000000000","-1.8875000000000000","3.2450000000000000","5/14/2024",80,85
10495,"IND","CON","87.6500000000000000","73.6000000000000000","4.1925000000000000","-2.3556250000000000","5/14/2024",71,92
10496,"SEA","MIN","78.7500000000000000","75.6000000000000000","0.90812500000000000000","-0.45937500000000000000","5/14/2024",70,83
10497,"ATL","LAS","79.7500000000000000","85.6250000000000000","-4.5900000000000000","-2.7325000000000000","5/15/2024",92,81
10498,"DAL","CHI","92.1250000000000000","82.5250000000000000","3.4943750000000000","-4.2293750000000000","5/15/2024",87,79
10499,"LAS","ATL","85.6250000000000000","79.7500000000000000","-2.7325000000000000","-4.5900000000000000","5/15/2024",81,92
10500,"CHI","DAL","82.5250000000000000","92.1250000000000000","-4.2293750000000000","3.4943750000000000","5/15/2024",79,87
10501,"NYL","IND","76.4500000000000000","87.6500000000000000","3.2450000000000000","4.1925000000000000","5/16/2024",102,66
10502,"IND","NYL","87.6500000000000000","76.4500000000000000","4.1925000000000000","3.2450000000000000","5/16/2024",66,102
10503,"MIN","SEA","75.6000000000000000","78.7500000000000000","-0.45937500000000000000","0.90812500000000000000","5/17/2024",102,93
10504,"SEA","MIN","78.7500000000000000","75.6000000000000000","0.90812500000000000000","-0.45937500000000000000","5/17/2024",93,102
10505,"CON","WAS","73.6000000000000000","82.2750000000000000","-2.3556250000000000","-1.8875000000000000","5/17/2024",84,77
10506,"WAS","CON","82.2750000000000000","73.6000000000000000","-1.8875000000000000","-2.3556250000000000","5/17/2024",77,84
10507,"NYL","IND","76.4500000000000000","87.6500000000000000","3.2450000000000000","4.1925000000000000","5/18/2024",91,80
10508,"LVA","LAS","80.9000000000000000","85.6250000000000000","4.2668750000000000","-2.7325000000000000","5/18/2024",89,82
10509,"PHO","ATL","84.7500000000000000","79.7500000000000000","0.14750000000000000000","-4.5900000000000000","5/18/2024",88,85
10510,"ATL","PHO","79.7500000000000000","84.7500000000000000","-4.5900000000000000","0.14750000000000000000","5/18/2024",85,88
10511,"CHI","DAL","82.5250000000000000","92.1250000000000000","-4.2293750000000000","3.4943750000000000","5/18/2024",83,74
10512,"LAS","LVA","85.6250000000000000","80.9000000000000000","-2.7325000000000000","4.2668750000000000","5/18/2024",82,89
10513,"IND","NYL","87.6500000000000000","76.4500000000000000","4.1925000000000000","3.2450000000000000","5/18/2024",80,91
10514,"DAL","CHI","92.1250000000000000","82.5250000000000000","3.4943750000000000","-4.2293750000000000","5/18/2024",74,83
10515,"SEA","WAS","78.7500000000000000","82.2750000000000000","0.90812500000000000000","-1.8875000000000000","5/19/2024",84,75
10516,"WAS","SEA","82.2750000000000000","78.7500000000000000","-1.8875000000000000","0.90812500000000000000","5/19/2024",75,84
10517,"CON","IND","73.6000000000000000","87.6500000000000000","-2.3556250000000000","4.1925000000000000","5/20/2024",88,84
10518,"IND","CON","87.6500000000000000","73.6000000000000000","4.1925000000000000","-2.3556250000000000","5/20/2024",84,88
10519,"NYL","SEA","76.4500000000000000","78.7500000000000000","3.2450000000000000","0.90812500000000000000","5/20/2024",74,63
10520,"SEA","NYL","78.7500000000000000","76.4500000000000000","0.90812500000000000000","3.2450000000000000","5/20/2024",63,74
10521,"PHO","LVA","84.7500000000000000","80.9000000000000000","0.14750000000000000000","4.2668750000000000","5/21/2024",98,88
10522,"LVA","PHO","80.9000000000000000","84.7500000000000000","4.2668750000000000","0.14750000000000000000","5/21/2024",88,98
10523,"ATL","DAL","79.7500000000000000","92.1250000000000000","-4.5900000000000000","3.4943750000000000","5/21/2024",83,78
10524,"DAL","ATL","92.1250000000000000","79.7500000000000000","3.4943750000000000","-4.5900000000000000","5/21/2024",78,83
10525,"LAS","WAS","85.6250000000000000","82.2750000000000000","-2.7325000000000000","-1.8875000000000000","5/21/2024",70,68
10526,"WAS","LAS","82.2750000000000000","85.6250000000000000","-1.8875000000000000","-2.7325000000000000","5/21/2024",68,70
10527,"SEA","IND","78.7500000000000000","87.6500000000000000","0.90812500000000000000","4.1925000000000000","5/22/2024",85,83
10528,"IND","SEA","87.6500000000000000","78.7500000000000000","4.1925000000000000","0.90812500000000000000","5/22/2024",83,85
10529,"CHI","NYL","82.5250000000000000","76.4500000000000000","-4.2293750000000000","3.2450000000000000","5/23/2024",90,81
10530,"CON","MIN","73.6000000000000000","75.6000000000000000","-2.3556250000000000","-0.45937500000000000000","5/23/2024",83,82
10531,"PHO","WAS","84.7500000000000000","82.2750000000000000","0.14750000000000000000","-1.8875000000000000","5/23/2024",83,80
10532,"MIN","CON","75.6000000000000000","73.6000000000000000","-0.45937500000000000000","-2.3556250000000000","5/23/2024",82,83
10533,"NYL","CHI","76.4500000000000000","82.5250000000000000","3.2450000000000000","-4.2293750000000000","5/23/2024",81,90
10534,"WAS","PHO","82.2750000000000000","84.7500000000000000","-1.8875000000000000","0.14750000000000000000","5/23/2024",80,83
10535,"IND","LAS","87.6500000000000000","85.6250000000000000","4.1925000000000000","-2.7325000000000000","5/24/2024",78,73
10536,"LAS","IND","85.6250000000000000","87.6500000000000000","-2.7325000000000000","4.1925000000000000","5/24/2024",73,78
10537,"DAL","PHO","92.1250000000000000","84.7500000000000000","3.4943750000000000","0.14750000000000000000","5/25/2024",107,92
10538,"SEA","WAS","78.7500000000000000","82.2750000000000000","0.90812500000000000000","-1.8875000000000000","5/25/2024",101,69
10539,"LVA","IND","80.9000000000000000","87.6500000000000000","4.2668750000000000","4.1925000000000000","5/25/2024",99,80
10540,"PHO","DAL","84.7500000000000000","92.1250000000000000","0.14750000000000000000","3.4943750000000000","5/25/2024",92,107
10541,"CON","CHI","73.6000000000000000","82.5250000000000000","-2.3556250000000000","-4.2293750000000000","5/25/2024",86,82
10542,"MIN","NYL","75.6000000000000000","76.4500000000000000","-0.45937500000000000000","3.2450000000000000","5/25/2024",84,67
10543,"CHI","CON","82.5250000000000000","73.6000000000000000","-4.2293750000000000","-2.3556250000000000","5/25/2024",82,86
10544,"IND","LVA","87.6500000000000000","80.9000000000000000","4.1925000000000000","4.2668750000000000","5/25/2024",80,99
10545,"WAS","SEA","82.2750000000000000","78.7500000000000000","-1.8875000000000000","0.90812500000000000000","5/25/2024",69,101
10546,"NYL","MIN","76.4500000000000000","75.6000000000000000","3.2450000000000000","-0.45937500000000000000","5/25/2024",67,84
10547,"MIN","ATL","75.6000000000000000","79.7500000000000000","-0.45937500000000000000","-4.5900000000000000","5/26/2024",92,79
10548,"DAL","LAS","92.1250000000000000","85.6250000000000000","3.4943750000000000","-2.7325000000000000","5/26/2024",84,83
10549,"LAS","DAL","85.6250000000000000","92.1250000000000000","-2.7325000000000000","3.4943750000000000","5/26/2024",83,84
10550,"ATL","MIN","79.7500000000000000","75.6000000000000000","-4.5900000000000000","-0.45937500000000000000","5/26/2024",79,92
10551,"LAS","IND","85.6250000000000000","87.6500000000000000","-2.7325000000000000","4.1925000000000000","5/28/2024",88,82
10552,"IND","LAS","87.6500000000000000","85.6250000000000000","4.1925000000000000","-2.7325000000000000","5/28/2024",82,88
10553,"SEA","CHI","78.7500000000000000","82.5250000000000000","0.90812500000000000000","-4.2293750000000000","5/28/2024",77,68
10554,"CON","PHO","73.6000000000000000","84.7500000000000000","-2.3556250000000000","0.14750000000000000000","5/28/2024",70,47
10555,"CHI","SEA","82.5250000000000000","78.7500000000000000","-4.2293750000000000","0.90812500000000000000","5/28/2024",68,77
10556,"PHO","CON","84.7500000000000000","73.6000000000000000","0.14750000000000000000","-2.3556250000000000","5/28/2024",47,70
10557,"NYL","PHO","76.4500000000000000","84.7500000000000000","3.2450000000000000","0.14750000000000000000","5/29/2024",81,78
10558,"LVA","MIN","80.9000000000000000","75.6000000000000000","4.2668750000000000","-0.45937500000000000000","5/29/2024",80,66
10559,"PHO","NYL","84.7500000000000000","76.4500000000000000","0.14750000000000000000","3.2450000000000000","5/29/2024",78,81
